,Country,HIGH END,Unnamed: 2,MID HIGH ,Unnamed: 4,MID LOW ,Unnamed: 6,LOW END ,Unnamed: 8,Unnamed: 9,SV,BTF,PAL,HIGH END.1,MID HIGH,MID LOW,LOW END,Code
31,United States,35.61089074338544,29.507223389034,24 and 36,19.041041218237783,12 and 24,29.411625021061543,11.870296914461813,22.040110371666664,99.99999999999999,108423.50498520772,24685.84790828361,67650.64710650868,31992.765822205656,20644.9642744915,31889.114720941267,23896.66016756929,USA
32,Brazil,11.581086957003771,6.465897432480593,6 and 12,7.504596303264406,4 and 6,25.2323311139406,4.044189096096555,60.797175150314395,99.99999999999999,69456.01177718487,295.0091544713629,18608.48890134499,4490.9544822044145,5212.393292225507,17525.370870156865,42227.29313259808,BRA
33,Argentina,37.41243760263721,8.0,14 and 37,15.0,7 and 14,28.999999999999996,6.543620265100045,48.0,100.0,14835.0,488.0,978.3911654317393,1186.8,2225.25,4302.15,7120.8,ARG
34,Chile,0.0,0.0,0 and 0,0.0,0 and 0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHL
35,Colombia,17.90362341793943,13.0,13 and 18,18.0,6 and 13,24.0,6.0424729035545575,44.99999999999999,100.0,9290.7672,1071.07,3547.05,1207.799736,1672.3380960000002,2229.784128,4180.845239999999,COL
36,Mexico,20.81479078607263,12.0,16 and 21,10.0,10 and 16,30.0,10.407395393036316,48.0,100.0,29834.4,5020.133092776783,4663.772140504998,3580.1280000000006,2983.44,8950.32,14320.512000000002,MEX
37,China,9.0410799121419,3.8,6 and 9,6.9,2 and 6,32.0,2.260269978035475,57.3,100.0,1938.9750000000001,0.556,501.084,73.68105,133.789275,620.4720000000001,1111.032675,CHN
38,Hong Kong,60.64208118714637,7.000000000000001,24 and 61,16.0,10 and 24,55.00000000000001,9.702732989943419,21.999999999999996,100.0,1938.9750000000001,0.556,501.084,135.72825000000003,310.23600000000005,1066.4362500000002,426.57449999999994,HKG
39,Taiwan,9.578936361046807,25.7548308065411,5 and 10,5.7505643196039316,2 and 5,40.1626943950061,1.5964893935078013,28.331910478848865,100.0,5628.26501822195,11.521,1401.3255315422562,1449.550132786803,323.6569999506212,2260.462879009516,1594.5950064750098,TWN
40,Australia,32.966486039398674,5.0,20 and 33,20.0,7 and 20,30.0,6.5932972078797345,44.99999999999999,100.0,12306.805789354361,839.7635827704909,3994.3753171335957,615.340289467718,2461.361157870872,3692.041736806308,5538.062605209461,AUS
41,New Zealand,36.182777936295764,8.0,18 and 36,20.0,9 and 18,27.0,9.045694484073941,44.99999999999999,100.0,766.2607974325502,80.00072526834929,850.1384772991009,61.30086379460402,153.25215948651004,206.89041530678855,344.8173588446475,NZL
42,India,3.6281668114019734,3.3641988859672742,2 and 4,3.3514398041848894,1 and 2,12.323378930427303,1.2093889371339912,80.96098237942053,100.0,126761.81245512601,45013.50288085267,17731.03924901285,4264.519482447275,4248.345839127292,15621.338487922772,102627.60864562867,IND
43,Japan,11.591901906349165,5.4,6 and 12,13.100000000000001,3 and 6,22.900000000000002,3.47757057190475,58.599999999999994,100.0,33095.0,74.0,10643.0,1787.13,4335.445000000001,7578.755000000001,19393.67,JPN
44,Indonesia,7.999871424323307,10.0,4 and 8,20.0,1 and 4,25.0,0.9599845709187967,44.99999999999999,100.0,16272.0,4185.0,4528.0,1627.2,3254.4,4068.0,7322.399999999999,IDN
45,"Korea, South",8.089401084192145,7.000000000000001,4 and 8,13.0,3 and 4,45.0,2.5116463770416355,35.0,100.0,24014.0,5.0,3311.0,1680.9800000000002,3121.82,10806.3,8404.9,KOR
46,Malaysia,17.286580308314903,5.0,10 and 17,10.0,3 and 10,40.0,3.241233807809045,44.99999999999999,100.0,9293.4,102.0,1272.0,464.67,929.34,3717.36,4182.03,MYS
47,Philippines,15.703021843901368,30.0,9 and 16,15.0,3 and 9,10.0,2.617170307316895,45.00000000000001,100.0,3726.0,575.0,1052.0,1117.8,558.9,372.6,1676.7000000000003,PHL
