,Country,SV,BTF,PAL,Myopia Control,TOT LENS,"Of which
SV
Optimized",SV.1,BTF.1,PAL.1,Myopia Control.1,TOT LENS.1,"Of which
SV
Optimized.1",Code
39,Taiwan,79.40223040319356,0.162535540439812,19.769568839625677,0.6656652167409597,100.0,0.43730165833203194,5628.26501822195,11.521,1401.3255315422562,47.18432006514001,7088.295869829346,24.61249626000623,TWN
40,Australia,71.75862535478026,4.896500469255965,23.290436756263176,0.05443741970061314,100.00000000000003,1.0,12306.805789354361,839.7635827704909,3994.3753171335957,9.336170371390615,17150.280859629835,123.06805789354361,AUS
41,New Zealand,45.14586681391327,4.71341102152532,50.087696771289735,0.05302539327166674,100.0,2.0,766.2607974325502,80.00072526834929,850.1384772991009,0.8999999999999999,1697.3000000000006,15.325215948651005,NZL
42,India,66.88799264660346,23.752128431882355,9.35607972096844,0.0037992005457166385,99.99999999999997,0.048264569405323886,126761.81245512601,45013.50288085267,17731.03924901285,7.2,189513.55458499157,61.18104295185079,IND
43,Japan,75.52659805107373,0.16887651475387389,24.2885506287227,0.015974805449690772,100.0,3.2,33095.0,74.0,10643.0,7.0,43819.0,1059.04,JPN
44,Indonesia,65.08800000000001,16.74,18.112000000000002,0.06,100.0,4.2,16272.0,4185.0,4528.0,15.0,25000.0,683.4240000000001,IDN
45,"Korea, South",87.81485670571053,0.01828409609096996,12.107728431440307,0.05913076675819687,100.0,0.7488787645078818,24014.0,5.0,3311.0,16.17,27346.17,179.83574650892274,KOR
46,Malaysia,86.23124530262683,0.9464337078860198,11.802585063049186,1.0197359264379762,100.00000000000001,4.3,9293.4,102.0,1272.0,109.9,10777.3,399.61619999999994,MYS
47,Philippines,69.55891879378936,10.734401048424285,19.639286787725823,0.06739337006054202,100.00000000000001,4.0,3726.0,575.0,1052.0,3.6100000000000003,5356.61,149.04,PHL
48,Singapore,80.61675515023971,0.22574636912480328,17.76284578898826,1.394652691647213,99.99999999999999,6.0,1964.8604166666669,5.502083333333334,432.93125,33.99166666666667,2437.285416666667,117.891625,SGP
49,Thailand,83.54538813847151,2.425696716389513,14.010255056159012,0.01866008897994546,99.99999999999997,1.4000000000000001,5673.071466604998,164.71466750000005,951.3532700000001,1.267095895,6790.406499999999,79.42300053246997,THA
50,Vietnam,85.497,10.999999999999996,3.5029999999999992,0.0,100.0,0.05,17613.613156800002,2266.1583999999993,721.6684431999998,0.0,20601.440000000002,8.806806578400002,VNM
