,Country,Clear,"Fixed Tints
non Polar","Fixed Tints
Polar","Fixed Tints
Total",Photo,TOTAL,Clear.1,"Fixed Tints
non Polar.1","Fixed Tints
Polar.1","Fixed Tints
Total.1",Photo.1,TOTAL.1,Code
10,Netherlands,85.5,6.200000000000001,2.2,8.4,6.1,100.0,6980.035447032269,506.15461721169675,179.60325126866658,685.7578684803633,497.99083306312093,8163.7841485757535,NLD
11,Norway,76.33708767114545,11.390724285488032,3.0,14.39072428548803,9.272188043366508,100.0,1605.126091862088,239.51069281825576,63.08045568008251,302.59114849833827,194.96461564232402,2102.6818560027505,NOR
12,Portugal,76.64,12.299999999999997,1.3599999999999997,13.659999999999995,9.700000000000001,100.0,3203.5520000000006,514.14,56.84799999999999,570.9879999999999,405.4600000000001,4180.000000000001,PRT
13,Sweden,78.00000000000001,11.900000000000004,3.0000000000000013,14.900000000000006,7.100000000000002,100.00000000000003,3638.6910606447404,555.1336361752874,139.9496561786439,695.0832923539313,331.2141862894572,4664.988539288128,SWE
14,Switzerland,77.4,12.499999999999998,2.3999999999999995,14.899999999999997,7.7,100.00000000000001,2449.7100000000005,395.625,75.96,471.585,243.705,3165.0000000000005,CHE
16,Croatia,87.49999999999999,4.5,1.0,5.499999999999999,7.000000000000002,99.99999999999999,1242.4999999999998,63.9,14.2,78.1,99.40000000000002,1420.0,HRV
17,Czech Republic,82.0,5.0,2.9999999999999996,8.000000000000002,10.0,100.0,3090.3484975999977,188.43588399999987,113.0615303999999,301.4974143999998,376.87176799999975,3768.717679999997,CZE
18,Hungary,87.3,3.500000000000001,1.2,4.700000000000001,8.0,100.0,2361.9015,94.69250000000002,32.466,127.15850000000003,216.44,2705.5,HUN
19,Poland,89.1,2.8000000000000007,0.5,3.3000000000000007,7.6,99.99999999999999,9774.45310995682,307.1657542971841,54.851027553068576,362.01678185025264,833.7356188066423,10970.205510613714,POL
20,Romania,88.5,5.0,0.4,5.4,6.1,100.0,5310.0,300.0,24.0,324.0,366.0,6000.0,ROU
21,Slovakia,85.50000000000001,4.0,1.0,5.0,9.5,100.00000000000001,1471.0774662000001,68.8223376,17.2055844,86.02792199999999,163.4530518,1720.55844,SVK
22,Slovenia,87.0,3.9999999999999996,3.0000000000000004,7.000000000000001,6.000000000000001,100.0,800.4,36.8,27.6,64.4,55.2,920.0,SVN
23,Morocco,68.36734693877553,9.183673469387756,1.0204081632653061,10.204081632653063,21.42857142857143,100.00000000000001,4173.115764862145,560.5677893098404,62.28530992331559,622.853099233156,1307.9915083896274,6103.960372484928,MAR
25,Saudi Arabia,80.5,8.0,0.5,8.5,11.0,100.0,6359.5,632.0,39.5,671.5,869.0,7900.0,SAU
26,South Africa,70.0,2.9999999999999996,2.0,5.0,24.999999999999993,100.0,2473.9400000000005,106.02600000000001,70.68400000000001,176.71000000000004,883.55,3534.2000000000007,ZAF
27,Tunisia,84.46754363172325,0.009409930572925142,0.2330627320610298,0.24247266263395492,15.2899837056428,100.0,2834.485848653973,0.3157699857126594,7.820909517102577,8.136679502815236,513.0875194945003,3355.7100476512883,TUN
28,Turkey,92.25816151039203,1.3532038090320517,0.3557391751858167,1.7089429842178685,6.03289550539009,99.99999999999999,27202.300397162857,398.99187138829484,104.88962437598015,503.881495764275,1778.7980284414134,29484.979921368547,TUR
29,United Arab Emirates,83.0,1.0,1.0,2.0,15.0,100.0,1659.2447,19.9909,19.9909,39.9818,299.8635,1999.09,ARE
30,Canada,71.91737424079942,2.9207726317773743,8.340931652066796,11.261704283844171,16.820921475356418,100.0,11672.747123826128,474.0640310750929,1353.79784064,1827.861871715093,2730.165900025068,16230.774895566288,CAN
31,United States,72.49999999999999,2.3,7.000000000000001,9.3,18.2,99.99999999999999,145550.99999999997,4617.48,14053.200000000003,18670.68,36538.32,200760.0,USA
34,Chile,86.51865981528299,0.3999999999999999,3.0357558577434496,3.435755857743449,10.045584326973563,100.00000000000001,4264.445980911202,19.715728329661037,149.63034441611745,169.34607274577849,495.140028758279,4928.93208241526,CHL
35,Colombia,79.2,2.5,0.2,2.6999999999999997,18.099999999999998,100.0,11016.5435424,347.74442999999997,27.8195544,375.5639844,2517.6696731999996,13909.7772,COL
36,Mexico,69.15960333337749,3.370000000000001,0.8903966666225045,4.260396666622505,26.580000000000005,100.0,27330.703143411036,1331.766886361596,351.86967250284766,1683.6365588644437,10503.965531006297,39518.305233281775,MEX
37,China,96.91,0.44999999999999996,0.1,0.5499999999999999,2.54,100.0,320772.1,1489.4999999999998,331.0,1820.4999999999998,8407.4,331000.0,CHN
38,Hong Kong,77.85,1.7999999999999992,0.4499999999999998,2.249999999999999,19.899999999999995,99.99999999999999,1956.2980995000007,45.232326,11.3080815,56.5404075,500.0684930000001,2512.907000000001,HKG
39,Taiwan,76.2582203275981,0.4885512771468686,0.12366159879569238,0.6122128759425608,23.129566796459343,100.0,5405.408281886498,34.629960000000004,8.7655,43.39546,1639.4921279428474,7088.295869829346,TWN
40,Australia,70.5,7.000000000000001,8.5,15.5,14.000000000000002,100.0,12090.948006039034,1200.5196601740886,1457.773873068536,2658.2935332426246,2401.039320348177,17150.280859629835,AUS
42,India,77.3,3.0000000000000004,0.6,3.6000000000000005,19.1,100.0,146493.97769419846,5685.406637549747,1137.0813275099492,6822.487965059696,36197.08892573339,189513.55458499154,IND
43,Japan,86.55,10.4,0.3,10.700000000000001,2.75,100.0,37925.3445,4557.176,131.457,4688.633000000001,1205.0225,43819.0,JPN
44,Indonesia,80.60000000000001,5.299999999999999,1.5999999999999996,6.8999999999999995,12.499999999999998,100.0,20150.000000000004,1325.0,400.0,1725.0,3125.0,25000.000000000004,IDN
45,"Korea, South",94.54507938346482,1.9867152383790851,0.11419744799983791,2.100912686378923,3.354007930156259,100.00000000000001,25854.458134837238,543.2905265030498,31.22862826569727,574.5191547687471,917.1927103940116,27346.169999999995,KOR
46,Malaysia,84.85000000000001,2.0,0.15,2.1500000000000004,13.0,100.00000000000001,9144.53905,215.546,16.16595,231.71195,1401.049,10777.3,MYS
47,Philippines,90.0,1.0,1.0,2.0,8.0,100.0,4820.949,53.5661,53.5661,107.1322,428.5288,5356.61,PHL
