,Country,"Lenses sold
to consumers",Of which SV,Of which BTF,Of which PAL,Of which Myopia Control,Of which SV.1,Of which BTF.1,Of which PAL.1,Of which Myopia Control.1,Code
20,Romania,152.49488814195698,68.5,0.6999999999999953,30.5,0.3,104.45899837724053,1.0674642169936917,46.51094088329688,0.45748466442587093,ROU
21,Slovakia,49.95735194613242,68.20285654176115,3.94079649672347,27.85634696151538,0.0,34.072341079883415,1.9687175753490007,13.916293290900002,0.0,SVK
22,Slovenia,39.6,50.0,1.0000000000000009,49.0,0.0,19.8,0.39600000000000035,19.404,0.0,SVN
23,Morocco,132.7151936984644,37.00000000000001,0.9999999999999898,62.0,0.0,49.10462166843184,1.3271519369846303,82.28342009304792,0.0,MAR
24,Russia,606.6312590803979,72.35942291964119,0.4405770803588067,23.0,4.2,438.95487832072934,2.6726782898002854,139.52518958849151,25.47851288137671,RUS
25,Saudi Arabia,303.4897823161172,60.0,15.000000000000002,25.0,0.0,182.09386938967032,45.52346734741759,75.8724455790293,0.0,SAU
26,South Africa,195.23884861103866,64.5,7.4542495299744616,28.000000000000004,0.04575047002553314,125.92905735411995,14.5535909549159,54.66687761109083,0.08932269091198927,ZAF
27,Tunisia,39.91509442973915,66.28343161887746,1.1196687009065212,32.5,0.09689968021601345,26.457094321946514,0.44691681926707155,12.972405689665223,0.03867759886033703,TUN
28,Turkey,243.09338294397892,56.84112714834782,0.19217794496798596,41.63625472303059,1.3304401836535975,138.17701888840713,0.46717186769489516,101.21498013738727,3.234212050489616,TUR
29,United Arab Emirates,83.24869583340873,59.5,1.0000000000000009,39.5,0.0,49.53297402087819,0.832486958334088,32.883234854196445,0.0,ARE
30,Canada,1142.7740143647916,31.70457215727088,2.349108974920101,60.86498169729775,5.081337170511268,362.3116119788265,26.84500693449804,695.5491946846051,58.06820076686193,CAN
31,United States,16074.281269687608,37.0,8.999999999999996,54.0,0.0,5947.484069784416,1446.6853142718842,8680.111885631308,0.0,USA
32,Brazil,1635.3711076056131,46.0,1.2885957771749057,52.6114042228251,0.1,752.270709498582,21.073323033744416,860.3917039656812,1.6353711076056132,BRA
33,Argentina,287.26274113613107,81.0,3.999999999999995,15.0,0.0,232.6828203202662,11.49050964544523,43.08941117041966,0.0,ARG
34,Chile,109.92715708656088,70.0,6.000000000000005,24.0,0.0,76.94900996059262,6.595629425193659,26.38251770077461,0.0,CHL
35,Colombia,221.2289604880803,53.87,2.6800000000000046,43.4,0.04999999999999999,119.17604101492886,5.9289361410805625,96.01336885182685,0.11061448024404014,COL
36,Mexico,460.8989388344654,66.0,14.999999999999996,19.0,0.0,304.19329963074716,69.13484082516979,87.57079837854843,0.0,MEX
37,China,5141.549132536196,69.3,0.09000000000000397,8.450000000000001,22.16,3563.0935488475843,4.62739421928278,434.4609016993087,1139.367287770021,CHN
38,Hong Kong,179.64147650112272,49.9,0.070000000000002,42.0,8.03,89.64109677406024,0.1257490335507895,75.44942013047154,14.425210563040155,HKG
39,Taiwan,321.04237563180675,59.04677850616496,0.13618109144908855,39.37893849237916,1.4381019100067842,189.56518045024305,0.4371990111494771,126.42307963452205,4.616916535892168,TWN
40,Australia,735.8119683993784,39.0,5.949999999999994,55.00000000000001,0.05,286.9666676757576,43.78081211976297,404.6965826196582,0.36790598419968923,AUS
41,New Zealand,167.31132058168572,30.0,4.799999999999994,65.0,0.2,50.193396174505715,8.030943387920905,108.75235837809572,0.3346226411633715,NZL
42,India,805.0967726773883,42.394285208988684,9.548034989469473,47.941942702276314,0.11573709926552259,341.3150220172153,76.87092155432654,385.9790334548693,0.9317956509771477,IND
43,Japan,1573.0210886915818,47.0,0.48500000000000043,52.5,0.015,739.3199116850435,7.6291522801541785,825.8360715630805,0.23595316330373728,JPN
44,Indonesia,159.99742848646613,19.0,3.8000000000000034,77.0,0.2,30.399511412428566,6.079902282485718,123.19801993457891,0.3199948569729323,IDN
45,"Korea, South",615.8030944736028,48.65,0.13000000000000805,51.019999999999996,0.2,299.58820546140777,0.8005440228157332,314.1827388004321,1.2316061889472056,KOR
46,Malaysia,184.75032704511554,54.0,0.49999999999999833,41.5,4.0,99.76517660436238,0.9237516352255746,76.67138572372295,7.3900130818046215,MYS
47,Philippines,79.87603777931163,55.099999999999994,3.500000000000009,41.0,0.4,44.0116968164007,2.7956613222759144,32.74917548951777,0.3195041511172465,PHL
48,Singapore,161.4023670241506,44.0,0.20000000000000434,51.5,4.3,71.01704149062627,0.32280473404830823,83.12221901743756,6.940301782038476,SGP
49,Thailand,191.38922786094722,65.92225950403375,1.130258980773921,32.91862756039439,0.028853954797933432,126.16810345326009,2.163193936132219,63.00270711025979,0.05522336129511153,THA
